Hours_of_Study,Hours_of_Playing,Result
5.2,0.7,Pass
3.7,2.7,Pass
5.6,2.8,Pass
7.8,1.9,Pass
3.4,3.2,Fail
3.4,4.3,Fail
7.9,7.3,Pass
5.9,3.8,Pass
2.8,4.0,Pass
5.4,3.4,Fail
2.8,0.0,Fail
2.8,3.4,Fail
4.6,3.6,Fail
0.0,8.0,Fail
0.0,3.1,Fail
2.6,4.1,Fail
1.5,3.4,Fail
4.8,1.2,Pass
1.7,5.8,Fail
0.5,5.0,Fail
7.7,5.1,Pass
3.4,1.7,Fail
4.2,6.3,Fail
0.4,0.7,Fail
2.6,4.7,Fail
4.3,7.9,Fail
1.1,1.5,Fail
4.9,2.4,Pass
2.5,3.7,Fail
3.3,2.5,Fail
2.5,0.4,Fail
8.6,3.6,Pass
4.0,1.4,Fail
1.4,4.4,Fail
6.1,1.7,Pass
0.9,6.6,Fail
4.5,1.9,Pass
0.0,2.9,Fail
0.7,5.1,Fail
4.5,1.0,Pass
5.8,4.0,Pass
4.4,6.1,Pass
3.7,0.3,Pass
3.2,3.9,Fail
0.3,4.0,Fail
2.2,5.1,Fail
2.8,1.0,Fail
6.6,0.9,Pass
4.9,4.5,Pass
0.0,4.1,Fail
4.8,4.0,Fail
3.0,4.2,Fail
2.3,2.1,Fail
5.5,4.0,Pass
6.6,4.1,Pass
6.3,2.1,Pass
1.9,7.2,Fail
3.2,4.4,Fail
4.8,1.1,Pass
6.4,4.8,Pass
2.8,1.6,Pass
3.5,5.1,Fail
1.2,5.8,Fail
1.0,1.9,Fail
6.0,5.4,Pass
7.4,4.3,Pass
3.8,5.1,Fail
6.5,7.3,Pass
4.9,3.0,Pass
2.4,2.0,Fail
4.9,1.7,Pass
7.8,1.9,Pass
3.9,3.3,Pass
7.9,4.2,Pass
0.0,4.1,Fail
6.1,5.2,Pass
4.2,3.5,Pass
3.3,6.4,Fail
4.2,3.0,Pass
0.0,8.0,Fail
3.5,4.8,Fail
4.9,1.8,Pass
7.7,1.4,Pass
2.7,4.5,Fail
2.0,3.1,Fail
2.7,4.9,Fail
6.3,4.4,Pass
4.8,3.4,Fail
2.7,1.8,Fail
5.3,0.5,Pass
4.2,2.6,Pass
6.4,5.2,Pass
2.2,3.9,Fail
3.2,1.0,Pass
3.0,3.8,Pass
0.3,4.3,Fail
4.7,1.7,Pass
4.7,3.8,Pass
4.0,3.6,Fail
3.4,1.2,Fail
